Filename:,25FC01544-CC1_B4_C1-CH1_500.00mA_NAV_50.0C_00_LIV.csv
Test Time:,2025-04-30T07:41:42.822134+00:00
Temperature Set:,50.0,°C
Temperature Measured:,50.03,°C
PID:,1.1837,0.0070,5.0000
Thermistor ABC:,0.001111930000000000023146692896,0.0002371740000000000113657898197,7.386599999999999665742402813E-8
OPM Wavelength:,1300.00,nm
OPM Range:,3.653111E-01,W
OPM:,Thorlabs,PM100USB,1933072,1.7.0=S145C,250120306,20-JAN-2025,1,18,289
SMU:,Keithley Instruments Inc., Model 2602B, 4369333, 3.4.2
TEC:,Arroyo 5240 241126048 v1.53 148

set_current[mA],current[A],voltage[V],power[W],power[mW],rd[Ohms],dy/dx(Ith)[a.u],SE[W/A],d2y/dx2(Ith)[a.u]
55.0,0.0550072,1.00013,0.0172095392,17.2095392,2.8914999999999886,0.39143490000000014,0.3885724703999995,-0.0011907351247999794
56.0,0.0560079,1.00302,0.0176034365,17.6034365,2.879712028797113,0.3819978000000006,0.38854287119999986,0.00041937005599991295
57.0,0.0570074,1.00589,0.0179735348,17.9735348,2.832974623354516,0.38281734999999983,0.38800485400000034,0.0011260884160000557
58.0,0.0580058,1.00868,0.0183690712,18.3690712,2.815844753426042,0.40251200000000154,0.3852277184000003,-0.0007682969568000319
59.0,0.0590068,1.01152,0.0187785588,18.778558800000003,2.844288927768051,0.3873314499999996,0.3826306243999999,-0.0021409382784001794
60.0,0.0600063,1.01437,0.0191437341,19.1437341,2.835141757087888,0.37297139999999906,0.38325088720000045,-0.0019079926703999502
61.0,0.0610067,1.01719,0.0195245016,19.5245016,2.815422313347014,0.3881528999999997,0.3837601927999999,-0.0019564543263997504
62.0,0.062006,1.02,0.0199200399,19.9200399,2.799860006999668,0.37994609999999973,0.3829131063999997,-0.0008259787903998392
63.0,0.0630068,1.02279,0.0202843938,20.2843938,2.789442111577635,0.37748370000000087,0.38512547200000025,-0.0006459565776000624
64.0,0.0640064,1.02558,0.0206750073,20.6750073,2.7813906953476772,0.3725588500000008,0.3799197091999999,-0.0010893656064001188
65.0,0.0650058,1.02835,0.0210295115,21.0295115,2.7651382569128646,0.3803549000000004,0.38070444319999963,-0.00023453511200020595
66.0,0.0660063,1.03111,0.0214357171,21.4357171,2.7554133119967608,0.38692259999999834,0.37473047040000007,5.3047977599762544e-05
67.0,0.0670055,1.03386,0.0218033567,21.8033567,2.7401370068503086,0.37338119999999897,0.37316417680000064,-0.00042397234079993027
68.0,0.0680062,1.03659,0.0221824795,22.1824795,2.7244551089781828,0.3766631500000006,0.3804183956000006,-0.0020852239887998417
69.0,0.0690059,1.03931,0.022556683,22.556683,2.7143214196451084,0.3766631500000006,0.3742144036000001,-0.0022001652399999913
70.0,0.0700067,1.04202,0.0229358058,22.9358058,2.7050000000000662,0.38938319999999926,0.3728785695999997,-0.0021283778911998477
71.0,0.0710059,1.04472,0.0233354494,23.335449399999998,2.6950000000000007,0.3495840500000007,0.3751603851999992,-0.0011539142223997113
72.0,0.0720067,1.04741,0.0236349739,23.634973900000002,2.684999999999935,0.36968755000000186,0.3757342787999991,0.002267176049599996
73.0,0.0730059,1.05009,0.0240748245,24.074824500000002,2.6722714307161772,0.39923100000000034,0.37323944080000004,0.0001497102351997135
74.0,0.074005,1.05275,0.0244334359,24.433435900000003,2.654734526547298,0.3602513999999992,0.36709844240000017,-0.002775818046400186
