wavelength[nm],power[dBm]
1562.000,-63.282
1562.010,-63.432
1562.020,-63.778
1562.030,-63.940
1562.040,-64.112
1562.050,-64.322
1562.060,-64.358
1562.070,-64.474
1562.080,-64.589
1562.090,-64.644
1562.100,-64.642
1562.110,-64.550
1562.120,-64.536
1562.130,-64.506
1562.140,-64.482
1562.150,-64.221
1562.160,-64.047
1562.170,-63.862
1562.180,-63.799
1562.190,-63.452
1562.200,-63.252
1562.210,-62.963
1562.220,-62.748
1562.230,-62.464
1562.240,-62.237
1562.250,-62.080
1562.260,-61.914
1562.270,-61.926
1562.280,-61.898
1562.290,-61.912
1562.300,-62.063
1562.310,-62.173
1562.320,-62.334
1562.330,-62.530
1562.340,-62.751
1562.350,-63.012
1562.360,-63.263
1562.370,-63.597
1562.380,-63.651
1562.390,-63.956
1562.400,-64.151
1562.410,-64.205
1562.420,-64.385
1562.430,-64.637
1562.440,-64.701
1562.450,-64.627
1562.460,-64.571
1562.470,-64.658
1562.480,-64.593
1562.490,-64.556
1562.500,-64.336
1562.510,-64.270
1562.520,-64.093
1562.530,-63.959
1562.540,-63.525
1562.550,-63.505
1562.560,-63.174
1562.570,-63.004
1562.580,-62.747
1562.590,-62.505
1562.600,-62.297
1562.610,-62.116
1562.620,-62.030
1562.630,-61.928
1562.640,-61.967
1562.650,-62.017
1562.660,-62.064
1562.670,-62.255
1562.680,-62.458
1562.690,-62.663
1562.700,-62.801
1562.710,-63.110
1562.720,-63.240
1562.730,-63.551
1562.740,-63.734
1562.750,-63.989
1562.760,-64.278
1562.770,-64.367
1562.780,-64.387
1562.790,-64.628
1562.800,-64.566
1562.810,-64.630
1562.820,-64.668
1562.830,-64.734
1562.840,-64.727
1562.850,-64.473
1562.860,-64.339
1562.870,-64.313
1562.880,-64.097
1562.890,-63.889
1562.900,-63.742
1562.910,-63.496
1562.920,-63.328
1562.930,-63.042
1562.940,-62.844
1562.950,-62.591
1562.960,-62.404
1562.970,-62.169
1562.980,-62.068
1562.990,-62.013
1563.000,-61.930
1563.010,-61.997
1563.020,-62.100
1563.030,-62.218
1563.040,-62.314
1563.050,-62.638
1563.060,-62.907
1563.070,-63.099
1563.080,-63.299
1563.090,-63.552
1563.100,-63.694
1563.110,-63.900
1563.120,-64.135
1563.130,-64.369
1563.140,-64.429
1563.150,-64.552
1563.160,-64.701
1563.170,-64.620
1563.180,-64.593
1563.190,-64.654
1563.200,-64.661
1563.210,-64.558
1563.220,-64.311
1563.230,-64.220
1563.240,-64.094
1563.250,-63.894
1563.260,-63.616
1563.270,-63.471
1563.280,-63.324
1563.290,-62.990
1563.300,-62.824
1563.310,-62.531
1563.320,-62.352
1563.330,-62.207
1563.340,-62.018
1563.350,-61.987
1563.360,-61.998
1563.370,-62.096
1563.380,-61.987
1563.390,-62.093
1563.400,-62.382
1563.410,-62.492
1563.420,-62.680
1563.430,-62.961
1563.440,-63.151
1563.450,-63.362
1563.460,-63.529
1563.470,-63.823
1563.480,-63.964
1563.490,-64.089
1563.500,-64.033
1563.510,-64.272
1563.520,-64.508
1563.530,-64.499
1563.540,-64.596
1563.550,-64.493
1563.560,-64.523
1563.570,-64.435
1563.580,-64.548
1563.590,-64.359
1563.600,-64.053
1563.610,-64.056
1563.620,-63.764
1563.630,-63.638
1563.640,-63.466
1563.650,-63.182
1563.660,-62.972
1563.670,-62.677
1563.680,-62.650
1563.690,-62.367
1563.700,-62.255
1563.710,-62.116
1563.720,-62.104
1563.730,-62.074
1563.740,-62.082
1563.750,-62.123
1563.760,-62.186
1563.770,-62.267
1563.780,-62.549
1563.790,-62.638
1563.800,-62.917
1563.810,-63.039
1563.820,-63.399
1563.830,-63.488
1563.840,-63.707
1563.850,-63.841
1563.860,-63.893
1563.870,-64.193
1563.880,-64.218
1563.890,-64.299
1563.900,-64.360
1563.910,-64.248
1563.920,-64.407
1563.930,-64.363
1563.940,-64.322
1563.950,-64.260
1563.960,-64.089
1563.970,-63.996
1563.980,-64.019
1563.990,-63.716
1564.000,-63.596
1564.010,-63.505
1564.020,-63.258
1564.030,-62.970
1564.040,-62.765
1564.050,-62.644
1564.060,-62.462
1564.070,-62.466
1564.080,-62.325
1564.090,-62.294
1564.100,-62.194
1564.110,-62.263
1564.120,-62.311
1564.130,-62.434
1564.140,-62.470
1564.150,-62.693
1564.160,-62.779
1564.170,-62.928
1564.180,-63.103
1564.190,-63.244
1564.200,-63.439
1564.210,-63.574
1564.220,-63.730
1564.230,-63.778
1564.240,-64.018
1564.250,-64.104
1564.260,-64.090
1564.270,-64.094
1564.280,-64.180
1564.290,-64.173
1564.300,-64.244
1564.310,-64.197
1564.320,-64.115
1564.330,-63.984
1564.340,-63.982
1564.350,-63.880
1564.360,-63.696
1564.370,-63.629
1564.380,-63.494
1564.390,-63.358
1564.400,-63.236
1564.410,-63.037
1564.420,-62.913
1564.430,-62.801
1564.440,-62.690
1564.450,-62.609
1564.460,-62.508
1564.470,-62.528
1564.480,-62.531
1564.490,-62.588
1564.500,-62.663
1564.510,-62.654
1564.520,-62.808
1564.530,-62.925
1564.540,-62.997
1564.550,-63.204
1564.560,-63.317
1564.570,-63.504
1564.580,-63.582
1564.590,-63.704
1564.600,-63.829
1564.610,-63.802
1564.620,-63.901
1564.630,-64.052
1564.640,-64.124
1564.650,-64.154
1564.660,-64.148
1564.670,-63.994
1564.680,-64.032
1564.690,-64.003
1564.700,-64.091
1564.710,-64.021
1564.720,-63.924
1564.730,-63.789
1564.740,-63.631
1564.750,-63.497
1564.760,-63.459
1564.770,-63.366
1564.780,-63.227
1564.790,-63.121
1564.800,-62.984
1564.810,-62.901
1564.820,-62.862
1564.830,-62.927
1564.840,-62.691
1564.850,-62.823
1564.860,-62.761
1564.870,-62.797
1564.880,-62.924
1564.890,-62.870
1564.900,-63.093
1564.910,-63.084
1564.920,-63.343
1564.930,-63.238
1564.940,-63.552
1564.950,-63.720
1564.960,-63.702
1564.970,-63.834
1564.980,-63.870
1564.990,-64.085
1565.000,-64.036
1565.010,-64.163
1565.020,-64.090
1565.030,-64.147
1565.040,-64.083
1565.050,-64.145
1565.060,-64.167
1565.070,-64.031
1565.080,-64.053
1565.090,-63.986
1565.100,-63.892
1565.110,-63.781
1565.120,-63.642
1565.130,-63.632
1565.140,-63.483
1565.150,-63.387
1565.160,-63.196
1565.170,-63.081
1565.180,-63.007
1565.190,-62.861
1565.200,-62.844
1565.210,-62.743
1565.220,-62.684
1565.230,-62.695
1565.240,-62.740
1565.250,-62.862
1565.260,-62.934
1565.270,-62.983
1565.280,-63.026
1565.290,-63.101
1565.300,-63.284
1565.310,-63.426
1565.320,-63.497
1565.330,-63.695
1565.340,-63.875
1565.350,-63.943
1565.360,-63.976
1565.370,-64.227
1565.380,-64.182
1565.390,-64.363
1565.400,-64.211
1565.410,-64.362
1565.420,-64.387
