wavelength[nm],power[dBm]
1565.180,-64.018
1565.190,-64.091
1565.200,-64.267
1565.210,-64.484
1565.220,-64.372
1565.230,-64.647
1565.240,-64.952
1565.250,-64.894
1565.260,-65.046
1565.270,-65.024
1565.280,-65.097
1565.290,-65.019
1565.300,-65.310
1565.310,-65.125
1565.320,-65.038
1565.330,-64.915
1565.340,-64.980
1565.350,-64.838
1565.360,-64.704
1565.370,-64.706
1565.380,-64.478
1565.390,-64.277
1565.400,-64.277
1565.410,-64.120
1565.420,-63.814
1565.430,-63.863
1565.440,-63.640
1565.450,-63.631
1565.460,-63.606
1565.470,-63.501
1565.480,-63.414
1565.490,-63.448
1565.500,-63.502
1565.510,-63.494
1565.520,-63.620
1565.530,-63.747
1565.540,-63.954
1565.550,-64.091
1565.560,-64.245
1565.570,-64.422
1565.580,-64.579
1565.590,-64.710
1565.600,-64.911
1565.610,-65.102
1565.620,-65.129
1565.630,-65.228
1565.640,-65.209
1565.650,-65.285
1565.660,-65.468
1565.670,-65.160
1565.680,-65.206
1565.690,-65.158
1565.700,-65.198
1565.710,-65.090
1565.720,-65.012
1565.730,-64.729
1565.740,-64.766
1565.750,-64.563
1565.760,-64.323
1565.770,-64.120
1565.780,-64.150
1565.790,-63.806
1565.800,-63.680
1565.810,-63.633
1565.820,-63.494
1565.830,-63.365
1565.840,-63.342
1565.850,-63.347
1565.860,-63.338
1565.870,-63.316
1565.880,-63.371
1565.890,-63.637
1565.900,-63.681
1565.910,-63.944
1565.920,-64.106
1565.930,-64.208
1565.940,-64.421
1565.950,-64.602
1565.960,-64.609
1565.970,-65.017
1565.980,-64.822
1565.990,-65.118
1566.000,-65.170
1566.010,-65.311
1566.020,-65.284
1566.030,-65.351
1566.040,-65.359
1566.050,-65.291
1566.060,-65.158
1566.070,-65.191
1566.080,-65.073
1566.090,-64.811
1566.100,-64.640
1566.110,-64.470
1566.120,-64.259
1566.130,-64.217
1566.140,-64.002
1566.150,-63.868
1566.160,-63.548
1566.170,-63.441
1566.180,-63.386
1566.190,-63.186
1566.200,-63.189
1566.210,-63.107
1566.220,-63.119
1566.230,-63.137
1566.240,-63.287
1566.250,-63.425
1566.260,-63.706
1566.270,-63.758
1566.280,-64.016
1566.290,-64.205
1566.300,-64.408
1566.310,-64.611
1566.320,-64.761
1566.330,-64.979
1566.340,-65.245
1566.350,-65.332
1566.360,-65.406
1566.370,-65.388
1566.380,-65.608
1566.390,-65.625
1566.400,-65.583
1566.410,-65.458
1566.420,-65.518
1566.430,-65.250
1566.440,-65.229
1566.450,-65.287
1566.460,-64.876
1566.470,-64.674
1566.480,-64.459
1566.490,-64.327
1566.500,-64.078
1566.510,-64.090
1566.520,-63.664
1566.530,-63.459
1566.540,-63.320
1566.550,-63.234
1566.560,-62.951
1566.570,-63.026
1566.580,-63.019
1566.590,-63.014
1566.600,-63.004
1566.610,-63.276
1566.620,-63.408
1566.630,-63.558
1566.640,-63.782
1566.650,-63.983
1566.660,-64.100
1566.670,-64.420
1566.680,-64.695
1566.690,-64.764
1566.700,-65.031
1566.710,-65.156
1566.720,-65.315
1566.730,-65.499
1566.740,-65.702
1566.750,-65.465
1566.760,-65.572
1566.770,-65.491
1566.780,-65.623
1566.790,-65.452
1566.800,-65.394
1566.810,-65.236
1566.820,-65.021
1566.830,-65.044
1566.840,-64.724
1566.850,-64.659
1566.860,-64.392
1566.870,-64.085
1566.880,-63.823
1566.890,-63.568
1566.900,-63.366
1566.910,-63.334
1566.920,-63.162
1566.930,-63.038
1566.940,-63.005
1566.950,-62.965
1566.960,-63.033
1566.970,-63.110
1566.980,-63.396
1566.990,-63.423
1567.000,-63.594
1567.010,-63.921
1567.020,-64.164
1567.030,-64.344
1567.040,-64.652
1567.050,-64.847
1567.060,-64.967
1567.070,-65.181
1567.080,-65.286
1567.090,-65.576
1567.100,-65.588
1567.110,-65.653
1567.120,-65.635
1567.130,-65.594
1567.140,-65.690
1567.150,-65.549
1567.160,-65.599
1567.170,-65.398
1567.180,-65.254
1567.190,-65.162
1567.200,-65.018
1567.210,-64.801
1567.220,-64.550
1567.230,-64.445
1567.240,-64.180
1567.250,-64.014
1567.260,-63.661
1567.270,-63.524
1567.280,-63.398
1567.290,-63.301
1567.300,-63.272
1567.310,-63.213
1567.320,-63.203
1567.330,-63.260
1567.340,-63.418
1567.350,-63.569
1567.360,-63.621
1567.370,-63.887
1567.380,-64.161
1567.390,-64.272
1567.400,-64.461
1567.410,-64.839
1567.420,-64.921
1567.430,-65.040
1567.440,-65.201
1567.450,-65.274
1567.460,-65.497
1567.470,-65.358
1567.480,-65.633
1567.490,-65.694
1567.500,-65.574
1567.510,-65.598
1567.520,-65.443
1567.530,-65.273
1567.540,-65.251
1567.550,-65.103
1567.560,-64.882
1567.570,-64.735
1567.580,-64.680
1567.590,-64.554
1567.600,-64.307
1567.610,-64.017
1567.620,-63.846
1567.630,-63.726
1567.640,-63.537
1567.650,-63.406
