voltage[V],current[A]
-2,-3.172e-06
-1.98,-3.156e-06
-1.96,-3.086e-06
-1.94,-2.992e-06
-1.92,-2.871e-06
-1.9,-2.743e-06
-1.88,-2.611e-06
-1.86,-2.486e-06
-1.84,-2.366e-06
-1.82,-2.246e-06
-1.8,-2.144e-06
-1.78,-2.041e-06
-1.76,-1.946e-06
-1.74,-1.857e-06
-1.72,-1.771e-06
-1.7,-1.688e-06
-1.68,-1.611e-06
-1.66,-1.534e-06
-1.64,-1.465e-06
-1.62,-1.400e-06
-1.6,-1.339e-06
-1.58,-1.280e-06
-1.56,-1.220e-06
-1.54,-1.167e-06
-1.52,-1.117e-06
-1.5,-1.070e-06
-1.48,-1.025e-06
-1.46,-9.751e-07
-1.44,-9.374e-07
-1.42,-9.018e-07
-1.4,-8.662e-07
-1.38,-8.312e-07
-1.36,-7.978e-07
-1.34,-7.663e-07
-1.32,-7.356e-07
-1.3,-7.065e-07
-1.28,-6.789e-07
-1.26,-6.505e-07
-1.24,-6.236e-07
-1.22,-5.993e-07
-1.2,-5.759e-07
-1.18,-5.529e-07
-1.16,-5.309e-07
-1.14,-5.101e-07
-1.12,-4.908e-07
-1.1,-4.712e-07
-1.08,-4.523e-07
-1.06,-4.345e-07
-1.04,-4.173e-07
-1.02,-4.007e-07
-1,-3.845e-07
-0.98,-3.674e-07
-0.96,-3.533e-07
-0.94,-3.396e-07
-0.92,-3.261e-07
-0.9,-3.127e-07
-0.88,-2.997e-07
-0.86,-2.878e-07
-0.84,-2.757e-07
-0.82,-2.644e-07
-0.8,-2.533e-07
-0.78,-2.428e-07
-0.76,-2.326e-07
-0.74,-2.226e-07
-0.72,-2.134e-07
-0.7,-2.044e-07
-0.68,-1.953e-07
-0.66,-1.866e-07
-0.64,-1.780e-07
-0.62,-1.699e-07
-0.6,-1.621e-07
-0.58,-1.545e-07
-0.56,-1.475e-07
-0.54,-1.407e-07
-0.52,-1.341e-07
-0.5,-1.275e-07
-0.48,-1.212e-07
-0.46,-1.148e-07
-0.44,-1.089e-07
-0.42,-1.026e-07
-0.4,-9.583e-08
-0.38,-9.156e-08
-0.36,-8.660e-08
-0.34,-8.162e-08
-0.32,-7.678e-08
-0.3,-7.177e-08
-0.28,-6.692e-08
-0.26,-6.205e-08
-0.24,-5.728e-08
-0.22,-5.270e-08
-0.2,-4.819e-08
-0.18,-4.379e-08
-0.16,-3.947e-08
-0.14,-3.505e-08
-0.12,-3.064e-08
-0.1,-2.618e-08
-0.08,-2.163e-08
-0.06,-1.691e-08
-0.04,-1.200e-08
-0.02,-6.778e-09
0,-1.001e-09
0.02,5.351e-09
0.04,1.277e-08
0.06,2.192e-08
0.08,3.325e-08
0.1,4.771e-08
0.12,6.655e-08
0.14,9.682e-08
0.16,1.362e-07
0.18,1.784e-07
0.2,2.468e-07
0.22,3.404e-07
0.24,4.710e-07
0.26,6.543e-07
0.28,9.130e-07
0.3,1.266e-06
0.32,1.776e-06
0.34,2.495e-06
0.36,3.494e-06
0.38,4.889e-06
0.4,6.839e-06
0.42,9.533e-06
0.44,1.319e-05
0.46,1.830e-05
0.48,2.523e-05
0.5,3.460e-05
0.52,4.701e-05
0.54,6.336e-05
0.56,8.477e-05
0.58,1.120e-04
0.6,1.477e-04
0.62,1.933e-04
0.64,2.532e-04
0.66,3.345e-04
0.68,4.494e-04
0.7,6.223e-04
0.72,8.989e-04
0.74,1.352e-03
0.76,2.099e-03
0.78,3.296e-03
0.8,5.094e-03
0.82,7.659e-03
0.84,1.000e-02
0.86,1.000e-02
0.88,1.000e-02
0.9,1.000e-02
0.92,1.000e-02
0.94,1.000e-02
0.96,1.000e-02
0.98,1.000e-02
1,1.000e-02
1.02,1.000e-02
1.04,1.000e-02
1.06,1.000e-02
1.08,1.000e-02
1.1,1.000e-02
1.12,1.000e-02
1.14,1.000e-02
1.16,1.000e-02
1.18,1.000e-02
1.2,1.000e-02
