current[mA],power[mW],voltage[V],mpd_current[mA]
1,0.030,0.6915,-7.772e-09
2,0.030,0.7495,-4.864e-09
3,0.030,0.7714,-2.241e-09
4,0.042,0.7861,-1.562e-09
5,0.036,0.7970,-1.085e-09
6,0.042,0.8058,5.96e-11
7,0.055,0.8143,1.669e-10
8,0.048,0.8210,8.821e-10
9,0.055,0.8277,8.821e-10
10,0.042,0.8335,5.126e-10
11,0.061,0.8391,8.941e-10
12,0.061,0.8441,7.629e-10
13,0.067,0.8491,1.049e-09
14,0.079,0.8536,6.437e-10
15,0.085,0.8580,9.775e-10
16,0.097,0.8620,6.437e-10
17,0.109,0.8663,1.18e-09
18,0.115,0.8702,1.144e-09
19,0.139,0.8739,4.649e-10
20,0.170,0.8775,1.144e-09
21,0.188,0.8809,8.583e-10
22,0.303,0.8841,7.391e-10
23,0.576,0.8866,1.121e-09
24,0.921,0.8891,8.464e-10
25,1.224,0.8915,6.676e-10
26,1.558,0.8939,6.199e-10
27,1.849,0.8963,8.702e-10
28,2.134,0.8987,1.121e-09
29,2.437,0.9010,7.629e-10
30,2.734,0.9035,5.245e-10
31,3.079,0.9057,1.085e-09
32,3.710,0.9073,5.96e-10
33,4.128,0.9090,7.987e-10
34,4.649,0.9106,8.464e-10
35,5.153,0.9124,1.097e-09
36,5.625,0.9142,9.537e-10
37,6.086,0.9160,1.061e-09
38,6.571,0.9179,8.941e-10
39,6.989,0.9196,4.649e-10
40,7.480,0.9215,6.676e-10
41,7.880,0.9234,1.144e-09
42,8.244,0.9252,7.033e-10
43,8.680,0.9271,1.287e-09
44,9.099,0.9290,8.941e-10
45,9.493,0.9309,5.96e-10
46,9.881,0.9328,6.914e-10
47,10.269,0.9347,6.676e-10
48,10.741,0.9366,6.676e-10
49,11.020,0.9385,3.457e-10
50,11.457,0.9403,7.51e-10
51,11.790,0.9423,5.484e-10
52,12.239,0.9442,6.676e-10
53,12.554,0.9460,6.557e-10
54,12.978,0.9479,8.464e-10
55,13.306,0.9497,1.287e-09
56,13.681,0.9516,1.299e-09
57,14.015,0.9535,9.298e-10
58,14.360,0.9554,5.841e-10
59,14.760,0.9573,7.749e-10
60,15.106,0.9591,6.437e-10
61,15.476,0.9610,7.153e-10
62,15.791,0.9629,7.629e-10
63,16.161,0.9647,9.537e-10
64,16.512,0.9664,1.025e-09
65,16.882,0.9684,8.106e-10
66,17.222,0.9702,1.001e-09
67,17.591,0.9720,8.106e-10
68,17.913,0.9738,4.53e-10
69,18.301,0.9757,1.132e-09
70,18.634,0.9774,4.888e-10
71,18.979,0.9792,5.484e-10
72,19.283,0.9810,7.987e-10
73,19.652,0.9829,4.53e-10
74,20.028,0.9846,6.676e-10
75,20.319,0.9865,7.153e-10
76,20.707,0.9882,6.914e-10
77,21.065,0.9900,7.51e-10
78,21.307,0.9918,1.025e-09
79,21.647,0.9935,8.225e-10
80,21.992,0.9953,6.437e-10
81,22.319,0.9970,3.815e-10
82,22.671,0.9988,6.914e-10
83,22.956,1.0000,8.464e-10
84,23.302,1.0017,7.629e-10
85,23.623,1.0035,7.51e-10
86,23.986,1.0052,7.749e-10
87,24.314,1.0069,7.987e-10
88,24.593,1.0085,4.53e-10
89,24.902,1.0103,6.676e-10
90,25.253,1.0120,9.656e-10
91,25.556,1.0136,1.287e-09
92,25.872,1.0153,1.419e-09
93,26.187,1.0171,9.179e-10
94,26.490,1.0187,4.649e-10
95,26.817,1.0203,6.08e-10
96,27.120,1.0219,1.359e-09
97,27.424,1.0237,6.08e-10
98,27.757,1.0253,1.311e-09
99,28.072,1.0270,7.033e-10
100,28.387,1.0286,1.204e-09
101,28.709,1.0303,1.109e-09
102,28.975,1.0319,8.583e-10
103,29.285,1.0335,1.049e-09
104,29.582,1.0352,8.702e-10
105,29.915,1.0367,8.345e-10
106,30.194,1.0384,9.656e-10
107,30.582,1.0399,1.132e-09
108,30.824,1.0415,9.775e-10
109,31.127,1.0431,5.007e-10
110,31.418,1.0447,8.225e-10
111,31.703,1.0462,9.537e-10
112,32.006,1.0478,5.96e-10
113,32.334,1.0494,5.841e-10
114,32.618,1.0510,1.025e-09
115,32.885,1.0526,6.437e-10
116,33.237,1.0541,8.941e-10
117,33.570,1.0556,6.676e-10
118,33.819,1.0572,1.025e-09
119,34.073,1.0587,5.603e-10
120,34.370,1.0602,1.264e-09
121,34.679,1.0618,8.345e-10
122,34.958,1.0633,9.298e-10
123,35.255,1.0649,5.96e-10
124,35.540,1.0663,5.245e-10
125,35.795,1.0678,6.914e-10
126,36.110,1.0694,6.914e-10
127,36.413,1.0708,8.345e-10
128,36.668,1.0723,8.941e-10
129,36.989,1.0738,1.335e-09
130,37.280,1.0753,1.097e-09
131,37.559,1.0768,1.144e-09
132,37.795,1.0782,6.676e-10
133,38.098,1.0798,6.318e-10
134,38.323,1.0812,7.868e-10
135,38.650,1.0827,1.395e-09
136,38.929,1.0841,7.153e-10
137,39.147,1.0856,8.106e-10
138,39.450,1.0870,9.179e-10
139,39.711,1.0885,1.073e-09
140,39.990,1.0899,1.097e-09
141,40.293,1.0912,8.345e-10
142,40.505,1.0927,1.264e-09
143,40.796,1.0941,3.338e-10
144,41.063,1.0955,8.225e-10
145,41.311,1.0970,3.934e-10
146,41.584,1.0983,7.272e-10
147,41.857,1.0998,7.153e-10
148,42.129,1.1012,4.53e-10
149,42.366,1.1026,6.795e-10
150,42.633,1.1040,5.245e-10
151,42.990,1.1053,1.168e-09
152,43.172,1.1067,5.603e-10
153,43.439,1.1081,7.868e-10
154,43.730,1.1094,5.96e-10
155,43.930,1.1108,5.603e-10
156,44.215,1.1121,6.199e-10
157,44.463,1.1136,6.199e-10
158,44.675,1.1149,1.204e-09
159,44.966,1.1163,9.775e-10
160,45.233,1.1176,9.179e-10
161,45.476,1.1190,9.418e-10
162,45.730,1.1203,7.868e-10
163,45.985,1.1216,6.557e-10
164,46.221,1.1230,1.121e-09
165,46.518,1.1243,1.037e-09
166,46.749,1.1256,1.085e-09
167,46.979,1.1269,8.106e-10
168,47.264,1.1283,7.391e-10
169,47.488,1.1296,6.437e-10
170,47.718,1.1309,6.08e-10
